Date,Value1,Value2
2013-07-03 17,14,23.0
2013-07-03 18,20,21.0
2013-07-03 19,18,8.0
2013-07-03 20,9,12.0
2013-07-03 21,9,4.0
2013-07-03 22,6,6.0
2013-07-03 23,5,4.0
2013-07-04 00,3,6.0
2013-07-04 01,1,2.0
2013-07-04 02,3,3.0
2013-07-04 03,0,0.0
2013-07-04 04,1,1.0
2013-07-04 05,0,0.0
2013-07-04 06,1,0.0
2013-07-04 07,1,0.0
2013-07-04 08,2,1.0
2013-07-04 09,4,5.0
2013-07-04 10,8,3.0
2013-07-04 11,13,7.0
2013-07-04 12,10,13.0
2013-07-04 13,15,14.0
2013-07-04 14,13,17.0
2013-07-04 15,11,14.0
2013-07-04 16,8,22.0
2013-07-04 17,10,17.0
2013-07-04 18,5,19.0
2013-07-04 19,10,22.0
2013-07-04 20,7,8.0
2013-07-04 21,4,2.0
2013-07-04 22,21,5.0
2013-07-04 23,11,7.0
2013-07-05 00,2,3.0
2013-07-05 01,0,0.0
2013-07-05 02,0,2.0
2013-07-05 03,1,0.0
2013-07-05 04,0,1.0
2013-07-05 05,0,1.0
2013-07-05 06,0,1.0
2013-07-05 07,4,2.0
2013-07-05 08,4,6.0
2013-07-05 09,12,1.0
2013-07-05 10,4,7.0
2013-07-05 11,8,17.0
2013-07-05 12,13,16.0
2013-07-05 13,16,18.0
2013-07-05 14,16,14.0
2013-07-05 15,9,16.0
2013-07-05 16,10,19.0
2013-07-05 17,18,15.0
2013-07-05 18,20,17.0
2013-07-05 19,22,16.0
2013-07-05 20,14,13.0
2013-07-05 21,11,6.0
2013-07-05 22,10,9.0
2013-07-05 23,8,6.0
2013-07-06 00,4,1.0
2013-07-06 01,3,3.0
2013-07-06 02,1,2.0
2013-07-06 03,1,0.0
2013-07-06 04,2,4.0
2013-07-06 05,0,0.0
2013-07-06 06,1,0.0
2013-07-06 07,0,1.0
2013-07-06 08,0,1.0
2013-07-06 09,6,12.0
2013-07-06 10,9,10.0
2013-07-06 11,13,10.0
2013-07-06 12,20,18.0
2013-07-06 13,14,17.0
2013-07-06 14,16,13.0
2013-07-06 15,22,16.0
2013-07-06 16,14,16.0
2013-07-06 17,15,12.0
2013-07-06 18,13,17.0
2013-07-06 19,20,16.0
2013-07-06 20,8,18.0
2013-07-06 21,14,8.0
2013-07-06 22,9,6.0
2013-07-06 23,5,2.0
2013-07-07 00,3,4.0
2013-07-07 01,3,2.0
2013-07-07 02,1,0.0
2013-07-07 03,3,1.0
2013-07-07 04,1,9.0
2013-07-07 05,1,0.0
2013-07-07 06,2,0.0
2013-07-07 07,0,1.0
2013-07-07 08,3,1.0
2013-07-07 09,9,1.0
2013-07-07 10,7,8.0
2013-07-07 11,8,8.0
2013-07-07 12,15,8.0
2013-07-07 13,9,12.0
2013-07-07 14,12,13.0
2013-07-07 15,17,16.0
2013-07-07 16,19,21.0
2013-07-07 17,22,13.0
2013-07-07 18,19,9.0
2013-07-07 19,17,23.0
2013-07-07 20,10,9.0
2013-07-07 21,6,13.0
2013-07-07 22,6,6.0
2013-07-07 23,2,2.0
2013-07-08 00,3,2.0
2013-07-08 01,2,0.0
2013-07-08 02,0,0.0
2013-07-08 03,1,0.0
2013-07-08 04,1,1.0
2013-07-08 05,1,0.0
2013-07-08 06,7,2.0
2013-07-08 07,9,4.0
2013-07-08 08,14,6.0
2013-07-08 09,13,13.0
2013-07-08 10,11,5.0
2013-07-08 11,10,5.0
2013-07-08 12,7,10.0
2013-07-08 13,11,12.0
2013-07-08 14,8,12.0
2013-07-08 15,10,10.0
2013-07-08 16,11,12.0
2013-07-08 17,18,27.0
2013-07-08 18,10,42.0
2013-07-08 19,10,16.0
2013-07-08 20,21,11.0
2013-07-08 21,10,2.0
2013-07-08 22,6,6.0
2013-07-08 23,4,2.0
2013-07-09 00,0,2.0
2013-07-09 01,3,0.0
2013-07-09 02,1,0.0
2013-07-09 03,0,2.0
2013-07-09 04,0,0.0
2013-07-09 05,0,0.0
2013-07-09 06,7,3.0
2013-07-09 07,12,6.0
2013-07-09 08,17,6.0
2013-07-09 09,20,9.0
2013-07-09 10,16,6.0
2013-07-09 11,6,5.0
2013-07-09 12,8,14.0
2013-07-09 13,9,11.0
2013-07-09 14,8,7.0
2013-07-09 15,5,6.0
2013-07-09 16,14,20.0
